Name,Revision,Languages,Embed Dim,Params,Framework,License,Link
kakaobrain/align-base,e96a37facc7b1f59090ece82293226b817afd6ba,eng_Latn,768.0,176000000.0,PyTorch,,https://huggingface.co/kakaobrain/align-base
Snowflake/snowflake-arctic-embed-xs,742da4f66e1823b5b4dbe6c320a1375a1fd85f9e,eng_Latn,384.0,22600000.0,"Sentence Transformers, PyTorch",apache-2.0,https://huggingface.co/Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-s,d3c1d2d433dd0fdc8e9ca01331a5f225639e798f,eng_Latn,384.0,32200000.0,"Sentence Transformers, PyTorch",apache-2.0,https://huggingface.co/Snowflake/snowflake-arctic-embed-s
Snowflake/snowflake-arctic-embed-m,cc17beacbac32366782584c8752220405a0f3f40,eng_Latn,768.0,109000000.0,"Sentence Transformers, PyTorch",apache-2.0,https://huggingface.co/Snowflake/snowflake-arctic-embed-m
Snowflake/snowflake-arctic-embed-m-long,89d0f6ab196eead40b90cb6f9fefec01a908d2d1,eng_Latn,768.0,137000000.0,"Sentence Transformers, PyTorch",apache-2.0,https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long
Snowflake/snowflake-arctic-embed-l,9a9e5834d2e89cdd8bb72b64111dde496e4fe78c,eng_Latn,1024.0,335000000.0,"Sentence Transformers, PyTorch",apache-2.0,https://huggingface.co/Snowflake/snowflake-arctic-embed-l
Snowflake/snowflake-arctic-embed-m-v1.5,97eab2e17fcb7ccb8bb94d6e547898fa1a6a0f47,eng_Latn,768.0,109000000.0,"Sentence Transformers, PyTorch",apache-2.0,https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5
Snowflake/snowflake-arctic-embed-m-v2.0,f2a7d59d80dfda5b1d14f096f3ce88bb6bf9ebdc,"afr_Latn, ara_Arab, aze_Latn, bel_Cyrl, bul_Cyrl, ben_Beng, cat_Latn, ceb_Latn, ces_Latn, cym_Latn, dan_Latn, deu_Latn, ell_Grek, eng_Latn, spa_Latn, est_Latn, eus_Latn, fas_Arab, fin_Latn, fra_Latn, glg_Latn, guj_Gujr, heb_Hebr, hin_Deva, hrv_Latn, hat_Latn, hun_Latn, hye_Armn, ind_Latn, isl_Latn, ita_Latn, jpn_Jpan, jav_Latn, kat_Geor, kaz_Cyrl, khm_Khmr, kan_Knda, kor_Hang, kir_Cyrl, lao_Laoo, lit_Latn, lav_Latn, mkd_Cyrl, mal_Mlym, mon_Cyrl, mar_Deva, msa_Latn, mya_Mymr, nep_Deva, nld_Latn, pan_Guru, pol_Latn, por_Latn, que_Latn, ron_Latn, rus_Cyrl, sin_Sinh, slk_Latn, slv_Latn, som_Latn, sqi_Latn, srp_Cyrl, swe_Latn, swa_Latn, tam_Taml, tel_Telu, tha_Thai, tgl_Latn, tur_Latn, ukr_Cyrl, urd_Arab, vie_Latn, yor_Latn, zho_Hans",768.0,305000000.0,"Sentence Transformers, PyTorch",apache-2.0,https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0
Snowflake/snowflake-arctic-embed-l-v2.0,edc2df7b6c25794b340229ca082e7c78782e6374,"afr_Latn, ara_Arab, aze_Latn, bel_Cyrl, bul_Cyrl, ben_Beng, cat_Latn, ceb_Latn, ces_Latn, cym_Latn, dan_Latn, deu_Latn, ell_Grek, eng_Latn, spa_Latn, est_Latn, eus_Latn, fas_Arab, fin_Latn, fra_Latn, glg_Latn, guj_Gujr, heb_Hebr, hin_Deva, hrv_Latn, hat_Latn, hun_Latn, hye_Armn, ind_Latn, isl_Latn, ita_Latn, jpn_Jpan, jav_Latn, kat_Geor, kaz_Cyrl, khm_Khmr, kan_Knda, kor_Hang, kir_Cyrl, lao_Laoo, lit_Latn, lav_Latn, mkd_Cyrl, mal_Mlym, mon_Cyrl, mar_Deva, msa_Latn, mya_Mymr, nep_Deva, nld_Latn, pan_Guru, pol_Latn, por_Latn, que_Latn, ron_Latn, rus_Cyrl, sin_Sinh, slk_Latn, slv_Latn, som_Latn, sqi_Latn, srp_Cyrl, swe_Latn, swa_Latn, tam_Taml, tel_Telu, tha_Thai, tgl_Latn, tur_Latn, ukr_Cyrl, urd_Arab, vie_Latn, yor_Latn, zho_Hans",1024.0,568000000.0,"Sentence Transformers, PyTorch",apache-2.0,https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0
bedrock/amazon-titan-embed-text-v1,1,,1536.0,,API,,https://aws.amazon.com/about-aws/whats-new/2023/09/amazon-titan-embeddings-generally-available/
